Date,Open,High,Low,Close,Adj Close,Volume,dividendYield,targetMeanPrice,earningsDate,beta,priceToBook,priceToSalesTrailing12Months,forwardPE
2019-01-02,99.55000305175781,101.75,98.94000244140625,101.12000274658203,95.84603118896484,35329300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-03,100.0999984741211,100.19000244140625,97.19999694824219,97.4000015258789,92.32006072998047,42579100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-04,99.72000122070312,102.51000213623047,98.93000030517578,101.93000030517578,96.61377716064453,44060600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-07,101.63999938964844,103.2699966430664,100.9800033569336,102.05999755859375,96.73698425292969,35656100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-08,103.04000091552734,103.97000122070312,101.70999908447266,102.80000305175781,97.43840026855469,31514400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-09,103.86000061035156,104.87999725341797,103.23999786376953,104.2699966430664,98.83173370361328,32280800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-10,103.22000122070312,103.75,102.37999725341797,103.5999984741211,98.1966781616211,30067600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-11,103.19000244140625,103.44000244140625,101.63999938964844,102.80000305175781,97.43840026855469,28314200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-14,101.9000015258789,102.87000274658203,101.26000213623047,102.05000305175781,96.72752380371094,28437100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-15,102.51000213623047,105.05000305175781,101.87999725341797,105.01000213623047,99.53314971923828,31587600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-16,105.26000213623047,106.26000213623047,104.95999908447266,105.37999725341797,99.88384246826172,29853900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-17,105.0,106.62999725341797,104.76000213623047,106.12000274658203,100.58525085449219,28393000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-18,107.45999908447266,107.9000015258789,105.91000366210938,107.70999908447266,102.0923080444336,37427600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-22,106.75,107.0999984741211,104.86000061035156,105.68000030517578,100.16820526123047,32371300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-23,106.12000274658203,107.04000091552734,105.33999633789062,106.70999908447266,101.14447784423828,25874300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-24,106.86000061035156,107.0,105.33999633789062,106.19999694824219,100.66105651855469,23164800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-25,107.23999786376953,107.87999725341797,106.19999694824219,107.16999816894531,101.58047485351562,31225600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-28,106.26000213623047,106.4800033569336,104.66000366210938,105.08000183105469,99.59947967529297,29476700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-29,104.87999725341797,104.97000122070312,102.16999816894531,102.94000244140625,97.57109832763672,31490500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-30,104.62000274658203,106.37999725341797,104.33000183105469,106.37999725341797,100.83168029785156,49471900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-01-31,103.80000305175781,105.22000122070312,103.18000030517578,104.43000030517578,98.9833984375,55636400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-01,103.77999877929688,104.0999984741211,102.3499984741211,102.77999877929688,97.41943359375,35535700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-04,102.87000274658203,105.80000305175781,102.7699966430664,105.73999786376953,100.2250747680664,31315100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-05,106.05999755859375,107.2699966430664,105.95999908447266,107.22000122070312,101.62788391113281,27325400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-06,107.0,107.0,105.52999877929688,106.02999877929688,100.49993896484375,20609800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
